step,reward,waiting_time,queue_length,emergency_count
0,0,0.0,0.0,0
1,0,0.0,0.0,0
2,0,0.0,0.0,0
3,0,0.0,0.0,0
4,0,0.0,0.0,0
5,0,0.0,0.0,0
6,0,0.0,0.0,0
7,0,0.0,0.0,0
8,0,0.0,0.0,0
9,0,0.0,0.0,0
10,0,0.07692307692307693,0.019230769230769232,0
11,0,0.25,0.038461538461538464,0
12,0,0.6538461538461539,0.1346153846153846,0
13,0,1.3269230769230769,0.1346153846153846,0
14,0,2.0961538461538463,0.15384615384615385,0
15,0,2.8653846153846154,0.15384615384615385,0
16,0,3.6346153846153846,0.15384615384615385,0
17,0,4.403846153846154,0.15384615384615385,0
18,0,5.173076923076923,0.15384615384615385,0
19,0,5.9423076923076925,0.15384615384615385,0
20,0,6.711538461538462,0.15384615384615385,0
21,0,7.480769230769231,0.15384615384615385,0
22,0,8.25,0.15384615384615385,0
23,0,9.01923076923077,0.15384615384615385,0
24,0,9.826923076923077,0.19230769230769232,0
25,0,11.0,0.25,0
26,0,12.26923076923077,0.2692307692307692,0
27,0,13.76923076923077,0.3076923076923077,0
28,0,15.307692307692308,0.3076923076923077,0
29,0,16.846153846153847,0.3076923076923077,0
30,0,18.384615384615383,0.3076923076923077,0
31,0,19.923076923076923,0.3076923076923077,0
32,0,21.46153846153846,0.3076923076923077,0
33,0,23.0,0.3076923076923077,0
34,0,24.53846153846154,0.3076923076923077,0
35,0,26.076923076923077,0.3076923076923077,0
36,0,27.615384615384617,0.3076923076923077,0
37,0,29.153846153846153,0.3076923076923077,0
38,0,30.692307692307693,0.3076923076923077,0
39,0,32.32692307692308,0.36538461538461536,0
40,0,34.32692307692308,0.4230769230769231,0
41,0,36.5,0.4423076923076923,0
42,0,38.78846153846154,0.46153846153846156,0
43,0,41.09615384615385,0.46153846153846156,0
44,0,43.40384615384615,0.46153846153846156,0
45,0,45.71153846153846,0.46153846153846156,0
46,0,48.01923076923077,0.46153846153846156,0
47,0,50.32692307692308,0.46153846153846156,0
48,0,52.63461538461539,0.46153846153846156,0
49,0,54.94230769230769,0.46153846153846156,0
50,0,57.25,0.46153846153846156,0
51,0,59.55769230769231,0.46153846153846156,0
52,0,61.86538461538461,0.46153846153846156,0
53,0,64.21153846153847,0.4807692307692308,0
54,0,66.82692307692308,0.5576923076923077,0
55,0,69.61538461538461,0.5576923076923077,0
56,0,72.63461538461539,0.6153846153846154,0
57,0,75.71153846153847,0.6153846153846154,0
58,0,78.78846153846153,0.6153846153846154,0
59,0,81.86538461538461,0.6153846153846154,0
60,0,84.9423076923077,0.6153846153846154,0
61,0,88.01923076923077,0.6153846153846154,0
62,0,91.09615384615384,0.6153846153846154,0
63,0,94.17307692307692,0.6153846153846154,0
64,0,97.25,0.6153846153846154,0
65,0,100.32692307692308,0.6153846153846154,0
66,0,103.40384615384616,0.6153846153846154,0
67,0,106.48076923076923,0.6153846153846154,0
68,0,109.73076923076923,0.6923076923076923,0
69,0,113.36538461538461,0.7307692307692307,0
70,0,117.07692307692308,0.7692307692307693,0
71,0,120.92307692307692,0.7692307692307693,0
72,0,124.76923076923077,0.7692307692307693,0
73,0,128.6153846153846,0.7692307692307693,0
74,0,132.46153846153845,0.7692307692307693,0
75,0,136.30769230769232,0.7692307692307693,0
76,0,140.15384615384616,0.7692307692307693,0
77,0,144.0,0.7692307692307693,0
78,0,147.84615384615384,0.7692307692307693,0
79,0,151.69230769230768,0.7692307692307693,0
80,0,155.53846153846155,0.7692307692307693,0
81,0,159.44230769230768,0.8076923076923077,0
82,0,163.53846153846155,0.8461538461538461,0
83,0,167.8846153846154,0.8846153846153846,0
84,0,172.30769230769232,0.8846153846153846,0
85,0,176.82692307692307,0.9230769230769231,0
86,0,181.44230769230768,0.9230769230769231,0
87,0,186.05769230769232,0.9230769230769231,0
88,0,190.67307692307693,0.9230769230769231,0
89,0,195.28846153846155,0.9230769230769231,0
90,0,199.90384615384616,0.9230769230769231,0
91,0,204.51923076923077,0.9230769230769231,0
92,0,209.1346153846154,0.9230769230769231,0
93,0,213.75,0.9230769230769231,0
94,0,218.3653846153846,0.9230769230769231,0
95,0,222.98076923076923,0.9230769230769231,0
96,0,227.65384615384616,0.9615384615384616,0
97,0,232.55769230769232,1.0384615384615385,0
98,0,237.82692307692307,1.0769230769230769,0
99,0,243.21153846153845,1.0769230769230769,0
100,0,248.59615384615384,1.0769230769230769,0
101,0,253.98076923076923,1.0769230769230769,0
102,0,259.36538461538464,1.0769230769230769,0
103,0,264.75,1.0769230769230769,0
104,0,270.13461538461536,1.0769230769230769,0
105,0,275.5192307692308,1.0769230769230769,0
106,0,280.90384615384613,1.0769230769230769,0
107,0,286.28846153846155,1.0769230769230769,0
108,0,291.6730769230769,1.0769230769230769,0
109,0,297.0576923076923,1.0769230769230769,0
110,0,302.4423076923077,1.0769230769230769,0
111,0,308.0192307692308,1.1538461538461537,0
112,0,314.09615384615387,1.2307692307692308,0
113,0,320.25,1.2307692307692308,0
114,0,326.40384615384613,1.2307692307692308,0
115,0,332.5576923076923,1.2307692307692308,0
116,0,338.71153846153845,1.2307692307692308,0
117,0,344.86538461538464,1.2307692307692308,0
118,0,351.0192307692308,1.2307692307692308,0
119,0,357.1730769230769,1.2307692307692308,0
120,0,363.3269230769231,1.2307692307692308,0
121,0,369.4807692307692,1.2307692307692308,0
122,0,375.63461538461536,1.2307692307692308,0
123,0,381.78846153846155,1.2307692307692308,0
124,0,387.96153846153845,1.25,0
125,0,394.28846153846155,1.2884615384615385,0
