step,reward,waiting_time,queue_length,emergency_count
0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0
3,0.0,0.0,0.0,0
4,0.0,0.0,0.0,0
5,0.0,0.0,0.0,0
6,0.0,0.0,0.0,0
7,0.0,0.0,0.0,0
8,0.0,0.0,0.0,0
9,0.0,0.0,0.0,0
10,0.0,0.0,0.0,0
11,-0.08,0.0,0.0,0
12,-0.14,0.15384615384615385,0.038461538461538464,0
13,-0.17,0.4230769230769231,0.057692307692307696,0
14,-0.28,0.75,0.07692307692307693,0
15,-0.35,1.2884615384615385,0.1346153846153846,0
16,-0.22999999999999998,1.9615384615384615,0.1346153846153846,0
17,-0.30000000000000004,2.4038461538461537,0.11538461538461539,0
18,-0.30000000000000004,2.980769230769231,0.11538461538461539,0
19,-0.2999999999999998,3.5576923076923075,0.11538461538461539,0
20,-0.30000000000000027,4.134615384615385,0.11538461538461539,0
21,-0.2999999999999998,4.711538461538462,0.11538461538461539,0
22,-0.2999999999999998,5.288461538461538,0.11538461538461539,0
23,-0.30000000000000027,5.865384615384615,0.11538461538461539,0
24,-0.2999999999999998,6.4423076923076925,0.11538461538461539,0
25,-0.33000000000000007,7.019230769230769,0.11538461538461539,0
26,-0.43999999999999995,7.653846153846154,0.15384615384615385,0
27,-0.5300000000000002,8.5,0.17307692307692307,0
28,-0.5999999999999996,9.51923076923077,0.23076923076923078,0
29,-0.6000000000000005,10.673076923076923,0.23076923076923078,0
30,-0.5999999999999996,11.826923076923077,0.23076923076923078,0
31,-0.5999999999999996,12.98076923076923,0.23076923076923078,0
32,-0.6000000000000005,14.134615384615385,0.23076923076923078,0
33,-0.6000000000000005,15.288461538461538,0.23076923076923078,0
34,-0.5999999999999996,16.442307692307693,0.23076923076923078,0
35,-0.5999999999999996,17.596153846153847,0.23076923076923078,0
36,-0.5999999999999996,18.75,0.23076923076923078,0
37,-0.5999999999999996,19.903846153846153,0.23076923076923078,0
38,-0.6000000000000014,21.057692307692307,0.23076923076923078,0
39,-0.6600000000000001,22.21153846153846,0.23076923076923078,0
40,-0.7699999999999996,23.48076923076923,0.2692307692307692,0
41,-0.8099999999999987,24.96153846153846,0.3076923076923077,0
42,-0.8900000000000006,26.51923076923077,0.3269230769230769,0
43,-0.9000000000000004,28.23076923076923,0.34615384615384615,0
44,-0.9000000000000004,29.96153846153846,0.34615384615384615,0
45,-0.8999999999999986,31.692307692307693,0.34615384615384615,0
46,-0.9000000000000021,33.42307692307692,0.34615384615384615,0
47,-0.8999999999999986,35.15384615384615,0.34615384615384615,0
48,-0.8999999999999986,36.88461538461539,0.34615384615384615,0
49,-0.9000000000000021,38.61538461538461,0.34615384615384615,0
50,-0.8999999999999986,40.34615384615385,0.34615384615384615,0
51,-0.9000000000000021,42.07692307692308,0.34615384615384615,0
52,-0.8999999999999986,43.80769230769231,0.34615384615384615,0
53,-0.9400000000000013,45.53846153846154,0.34615384615384615,0
