step,vehicle_id,wait_time
311,t_15,1514.0
312,t_15,1519.0
313,t_15,1524.0
314,t_15,1529.0
315,t_15,1534.0
316,t_15,1539.0
317,t_15,1544.0
318,t_15,1549.0
319,t_15,1554.0
320,t_15,1559.0
321,t_15,1564.0
322,t_15,1569.0
323,t_15,1574.0
324,t_15,1579.0
325,t_15,1584.0
326,t_15,1589.0
327,t_15,1594.0
328,t_15,1599.0
329,t_15,1604.0
330,t_15,1609.0
331,t_15,1614.0
332,t_15,1619.0
333,t_15,1624.0
334,t_15,1629.0
335,t_15,1634.0
336,t_15,1639.0
337,t_15,1644.0
338,t_15,1649.0
339,t_15,1654.0
340,t_15,1659.0
341,t_15,1664.0
342,t_15,1669.0
343,t_15,1674.0
344,t_15,1679.0
345,t_15,1684.0
346,t_15,1689.0
347,t_15,1694.0
348,t_15,1699.0
349,t_15,1704.0
350,t_15,1709.0
351,t_15,1714.0
352,t_15,1719.0
353,t_15,1724.0
354,t_15,1729.0
355,t_15,1734.0
356,t_15,1739.0
357,t_15,1744.0
358,t_15,1749.0
359,t_15,1754.0
360,t_15,1759.0
361,t_15,1764.0
362,t_15,1769.0
363,t_15,1774.0
364,t_15,1779.0
365,t_15,1784.0
366,t_15,1789.0
367,t_15,1794.0
368,t_15,1799.0
369,t_15,1804.0
370,t_15,1809.0
371,t_15,1814.0
372,t_15,1819.0
373,t_15,1824.0
374,t_15,1829.0
375,t_15,1834.0
376,t_15,1839.0
377,t_15,1844.0
378,t_15,1849.0
379,t_15,1854.0
380,t_15,1859.0
381,t_15,1864.0
382,t_15,1869.0
383,t_15,1874.0
384,t_15,1879.0
385,t_15,1884.0
386,t_15,1889.0
387,t_15,1894.0
388,t_15,1899.0
389,t_15,1904.0
390,t_15,1909.0
391,t_15,1914.0
392,t_15,1919.0
393,t_15,1924.0
394,t_15,1929.0
395,t_15,1934.0
396,t_15,1939.0
397,t_15,1944.0
398,t_15,1949.0
399,t_15,1954.0
400,t_15,1959.0
401,t_15,1964.0
402,t_15,1969.0
403,t_15,1974.0
404,t_15,1979.0
405,t_15,1984.0
406,t_15,1989.0
407,t_15,1994.0
408,t_15,1999.0
409,t_15,2004.0
410,t_15,2009.0
411,t_15,2014.0
412,t_15,2019.0
413,t_15,2024.0
414,t_15,2029.0
415,t_15,2034.0
416,t_15,2039.0
417,t_15,2044.0
418,t_15,2049.0
419,t_15,2054.0
420,t_15,2059.0
421,t_15,2064.0
422,t_15,2069.0
423,t_15,2074.0
424,t_15,2079.0
425,t_15,2084.0
426,t_15,2089.0
427,t_15,2094.0
428,t_15,2099.0
429,t_15,2104.0
430,t_15,2109.0
431,t_15,2114.0
432,t_15,2119.0
433,t_15,2124.0
434,t_15,2129.0
435,t_15,2134.0
436,t_15,2139.0
437,t_15,2144.0
438,t_15,2149.0
439,t_15,2154.0
440,t_15,2159.0
441,t_15,2164.0
442,t_15,2169.0
443,t_15,2174.0
444,t_15,2179.0
445,t_15,2184.0
446,t_15,2189.0
447,t_15,2194.0
448,t_15,2199.0
449,t_15,2204.0
450,t_15,2209.0
451,t_15,2214.0
452,t_15,2219.0
453,t_15,2224.0
454,t_15,2229.0
455,t_15,2234.0
456,t_15,2239.0
457,t_15,2244.0
458,t_15,2249.0
459,t_15,2254.0
460,t_15,2259.0
461,t_15,2264.0
462,t_15,2269.0
463,t_15,2274.0
464,t_15,2279.0
465,t_15,2284.0
466,t_15,2289.0
467,t_15,2294.0
468,t_15,2299.0
469,t_15,2304.0
470,t_15,2309.0
471,t_15,2314.0
472,t_15,2319.0
473,t_15,2324.0
474,t_15,2329.0
475,t_15,2334.0
476,t_15,2339.0
477,t_15,2344.0
478,t_15,2349.0
479,t_15,2354.0
480,t_15,2359.0
481,t_15,2364.0
482,t_15,2369.0
483,t_15,2374.0
484,t_15,2379.0
485,t_15,2384.0
486,t_15,2389.0
487,t_15,2394.0
488,t_15,2399.0
489,t_15,2404.0
490,t_15,2409.0
491,t_15,2414.0
492,t_15,2419.0
493,t_15,2424.0
494,t_15,2429.0
495,t_15,2434.0
496,t_15,2439.0
497,t_15,2444.0
498,t_15,2449.0
499,t_15,2454.0
500,t_15,2459.0
501,t_15,2464.0
502,t_15,2469.0
503,t_15,2474.0
504,t_15,2479.0
505,t_15,2484.0
506,t_15,2489.0
507,t_15,2494.0
508,t_15,2499.0
509,t_15,2504.0
510,t_15,2509.0
511,t_15,2514.0
512,t_15,2519.0
513,t_15,2524.0
514,t_15,2529.0
515,t_15,2534.0
516,t_15,2539.0
517,t_15,2544.0
518,t_15,2549.0
519,t_15,2554.0
520,t_15,2559.0
521,t_15,2564.0
522,t_15,2569.0
523,t_15,2574.0
524,t_15,2579.0
525,t_15,2584.0
526,t_15,2589.0
527,t_15,2594.0
528,t_15,2599.0
529,t_15,2604.0
530,t_15,2609.0
531,t_15,2614.0
532,t_15,2619.0
533,t_15,2624.0
534,t_15,2629.0
535,t_15,2634.0
536,t_15,2639.0
537,t_15,2644.0
538,t_15,2649.0
539,t_15,2654.0
540,t_15,2659.0
541,t_15,2664.0
542,t_15,2669.0
543,t_15,2674.0
544,t_15,2679.0
545,t_15,2684.0
546,t_15,2689.0
547,t_15,2694.0
548,t_15,2699.0
549,t_15,2704.0
550,t_15,2709.0
551,t_15,2714.0
552,t_15,2719.0
553,t_15,2724.0
554,t_15,2729.0
555,t_15,2734.0
556,t_15,2739.0
557,t_15,2744.0
558,t_15,2749.0
559,t_15,2754.0
560,t_15,2759.0
561,t_15,2764.0
562,t_15,2769.0
563,t_15,2774.0
564,t_15,2779.0
565,t_15,2784.0
566,t_15,2789.0
567,t_15,2794.0
568,t_15,2799.0
569,t_15,2804.0
570,t_15,2809.0
571,t_15,2814.0
572,t_15,2819.0
573,t_15,2824.0
574,t_15,2829.0
575,t_15,2834.0
576,t_15,2839.0
577,t_15,2844.0
578,t_15,2849.0
579,t_15,2854.0
580,t_15,2859.0
581,t_15,2864.0
582,t_15,2869.0
583,t_15,2874.0
584,t_15,2879.0
585,t_15,2884.0
586,t_15,2889.0
587,t_15,2894.0
588,t_15,2899.0
589,t_15,2904.0
590,t_15,2909.0
591,t_15,2914.0
592,t_15,2919.0
593,t_15,2924.0
594,t_15,2929.0
595,t_15,2934.0
596,t_15,2939.0
597,t_15,2944.0
598,t_15,2949.0
599,t_15,2954.0
