step,reward,waiting_time,queue_length
153,0.20999999999999996,0.625,0.175
154,-0.18999999999999995,0.525,0.175
155,-0.16999999999999993,0.25,0.125
156,0.030000000000000027,0.425,0.1
157,0.3899999999999999,0.45,0.125
158,-0.09999999999999987,0.15,0.075
159,-0.14000000000000012,0.05,0.05
160,0.050000000000000044,0.375,0.1
161,0.33999999999999997,0.425,0.1
162,-0.18000000000000005,0.2,0.1
163,-0.16999999999999993,0.2,0.1
164,0.050000000000000044,0.5,0.1
165,0.37,0.4,0.15
166,-0.14,0.15,0.075
167,-0.15999999999999992,0.175,0.075
168,0.05999999999999983,0.425,0.15
169,0.27,0.45,0.125
170,-0.1499999999999999,0.3,0.1
171,-0.15000000000000013,0.15,0.075
172,0.040000000000000036,0.4,0.1
173,0.27,0.35,0.1
174,-0.14,0.1,0.05
175,-0.17000000000000004,0.175,0.075
176,0.040000000000000036,0.45,0.1
177,0.3500000000000001,0.375,0.15
178,-0.10000000000000009,0.075,0.075
179,-0.1499999999999999,0.125,0.075
180,0.0,0.425,0.1
181,0.20999999999999996,0.45,0.175
182,-0.16000000000000003,0.25,0.075
183,-0.19000000000000006,0.2,0.1
184,-0.039999999999999813,0.525,0.125
185,0.23999999999999988,0.575,0.15
186,-0.14,0.2,0.1
187,-0.1399999999999999,0.125,0.075
188,0.030000000000000027,0.4,0.125
189,0.2899999999999999,0.4,0.175
190,-0.14,0.15,0.075
191,-0.1399999999999999,0.125,0.075
192,0.010000000000000009,0.325,0.125
193,0.2799999999999999,0.425,0.125
194,-0.15000000000000002,0.15,0.075
195,-0.1399999999999999,0.175,0.075
196,0.05999999999999983,0.35,0.075
197,0.27,0.3,0.125
198,-0.1399999999999999,0.175,0.075
199,-0.15000000000000013,0.125,0.1
200,0.0,0.425,0.125
201,0.22000000000000008,0.5,0.15
202,-0.14,0.2,0.075
203,-0.1399999999999999,0.125,0.125
204,0.04999999999999982,0.375,0.075
205,0.2600000000000001,0.325,0.15
206,-0.22000000000000008,0.225,0.125
207,-0.16999999999999993,0.3,0.125
208,0.010000000000000009,0.525,0.1
209,0.29999999999999993,0.45,0.175
210,-0.21999999999999986,0.2,0.075
211,-0.16000000000000014,0.3,0.125
212,0.030000000000000027,0.475,0.1
213,0.30000000000000004,0.45,0.125
214,-0.13000000000000012,0.15,0.05
215,-0.15999999999999992,0.15,0.125
216,0.010000000000000009,0.45,0.1
217,0.32000000000000006,0.5,0.125
218,-0.13000000000000012,0.175,0.1
219,-0.16999999999999993,0.125,0.075
220,0.06000000000000005,0.425,0.125
221,0.2899999999999999,0.425,0.1
222,-0.18000000000000005,0.175,0.075
223,-0.17999999999999994,0.175,0.125
224,0.06000000000000005,0.5,0.15
225,0.2699999999999999,0.475,0.1
226,-0.14,0.225,0.1
227,-0.11999999999999988,0.175,0.075
228,0.05999999999999983,0.3,0.1
229,0.30000000000000016,0.3,0.1
230,-0.18000000000000005,0.075,0.075
231,-0.19999999999999996,0.25,0.1
232,0.010000000000000009,0.6,0.15
233,0.29999999999999993,0.55,0.15
234,-0.14,0.15,0.1
235,-0.17999999999999994,0.125,0.075
236,0.010000000000000009,0.475,0.15
237,0.30999999999999994,0.525,0.125
238,-0.14,0.175,0.075
239,-0.17999999999999994,0.2,0.125
240,-0.020000000000000018,0.525,0.125
241,0.28,0.6,0.175
242,-0.18999999999999995,0.35,0.1
243,-0.17000000000000015,0.225,0.075
244,0.07000000000000006,0.425,0.1
245,0.31999999999999995,0.35,0.15
246,-0.10999999999999999,0.15,0.075
247,-0.1299999999999999,0.1,0.1
248,0.020000000000000018,0.325,0.1
249,0.2499999999999999,0.4,0.15
250,-0.12,0.175,0.075
251,-0.1299999999999999,0.075,0.05
252,0.019999999999999796,0.325,0.1
253,0.2600000000000001,0.425,0.15
254,-0.13,0.2,0.1
255,-0.19999999999999996,0.075,0.05
256,0.020000000000000018,0.45,0.125
257,0.2699999999999999,0.5,0.125
258,-0.16000000000000003,0.225,0.075
259,-0.15999999999999992,0.15,0.1
260,0.050000000000000044,0.4,0.1
261,0.30999999999999994,0.375,0.125
262,-0.07999999999999996,0.125,0.05
263,-0.14000000000000012,0.075,0.075
264,0.020000000000000018,0.35,0.1
265,0.22000000000000008,0.45,0.175
266,-0.16000000000000003,0.25,0.075
267,-0.16999999999999993,0.15,0.075
268,0.030000000000000027,0.4,0.15
269,0.2899999999999999,0.4,0.1
270,-0.14,0.175,0.1
271,-0.16999999999999993,0.175,0.1
272,0.010000000000000009,0.475,0.15
273,0.2499999999999999,0.475,0.1
274,-0.13,0.225,0.1
275,-0.15999999999999992,0.125,0.075
276,0.040000000000000036,0.45,0.125
277,0.32999999999999996,0.375,0.1
278,-0.13,0.15,0.1
279,-0.15000000000000013,0.1,0.075
280,0.040000000000000036,0.425,0.1
281,0.25,0.425,0.125
282,-0.16999999999999993,0.3,0.1
283,-0.1499999999999999,0.175,0.075
284,0.05999999999999983,0.375,0.1
285,0.27,0.35,0.15
286,-0.12,0.2,0.1
287,-0.19000000000000006,0.1,0.1
288,-0.05999999999999983,0.475,0.15
289,0.22999999999999998,0.625,0.15
290,-0.15000000000000013,0.275,0.1
291,-0.16999999999999993,0.15,0.125
292,0.050000000000000044,0.45,0.1
293,0.30999999999999994,0.4,0.15
294,-0.13,0.125,0.05
295,-0.17999999999999994,0.15,0.1
296,0.040000000000000036,0.525,0.125
297,0.2799999999999999,0.475,0.15
298,-0.16000000000000003,0.275,0.1
299,-0.15999999999999992,0.225,0.075
300,0.010000000000000009,0.45,0.175
301,0.24,0.5,0.125
302,-0.20999999999999996,0.325,0.15
303,-0.18000000000000016,0.35,0.125
304,0.030000000000000027,0.475,0.125
305,0.30000000000000004,0.475,0.1
306,-0.1299999999999999,0.175,0.1
307,-0.17000000000000015,0.1,0.05
308,0.020000000000000018,0.5,0.15
309,0.33000000000000007,0.5,0.175
310,-0.15000000000000013,0.225,0.125
311,-0.1299999999999999,0.175,0.075
312,0.08000000000000007,0.3,0.1
313,0.31999999999999995,0.325,0.1
314,-0.08999999999999997,0.1,0.075
315,-0.14000000000000012,0.05,0.025
316,0.06000000000000005,0.4,0.1
317,0.29000000000000004,0.35,0.125
318,-0.09999999999999998,0.075,0.075
319,-0.19000000000000006,0.1,0.05
320,-0.030000000000000027,0.55,0.15
321,0.19000000000000006,0.6,0.175
322,-0.22000000000000008,0.45,0.15
323,-0.15999999999999992,0.325,0.075
324,0.030000000000000027,0.425,0.1
325,0.25,0.4,0.1
326,-0.1100000000000001,0.175,0.075
327,-0.16999999999999993,0.1,0.1
328,-0.020000000000000018,0.5,0.125
329,0.22999999999999998,0.525,0.125
330,-0.17999999999999994,0.3,0.1
331,-0.16999999999999993,0.2,0.075
332,0.0,0.45,0.125
333,0.2999999999999998,0.575,0.125
334,-0.1499999999999999,0.25,0.1
335,-0.15999999999999992,0.175,0.1
336,0.04999999999999982,0.375,0.1
337,0.33000000000000007,0.475,0.125
338,-0.11999999999999988,0.15,0.075
339,-0.18000000000000016,0.1,0.075
340,0.06000000000000005,0.475,0.125
341,0.38,0.425,0.1
342,-0.15000000000000002,0.1,0.075
343,-0.15999999999999992,0.225,0.075
344,0.040000000000000036,0.425,0.125
345,0.21999999999999986,0.525,0.15
346,-0.19000000000000006,0.35,0.125
347,-0.17999999999999994,0.275,0.125
348,0.0,0.5,0.125
349,0.20999999999999996,0.575,0.175
350,-0.17999999999999994,0.325,0.125
351,-0.1399999999999999,0.225,0.125
352,0.04999999999999982,0.4,0.1
353,0.33000000000000007,0.3,0.1
354,-0.10000000000000009,0.15,0.075
355,-0.16999999999999993,0.1,0.05
356,0.07000000000000006,0.45,0.1
357,0.36,0.375,0.15
358,-0.09999999999999998,0.175,0.1
359,-0.14000000000000012,0.1,0.075
360,0.050000000000000044,0.4,0.1
361,0.30000000000000004,0.45,0.15
362,-0.14,0.15,0.075
363,-0.16000000000000003,0.125,0.075
364,0.020000000000000018,0.425,0.125
365,0.24,0.425,0.1
366,-0.15999999999999992,0.225,0.075
367,-0.15000000000000013,0.225,0.1
368,0.0,0.4,0.1
369,0.2300000000000001,0.45,0.15
370,-0.10999999999999999,0.175,0.075
371,-0.17999999999999994,0.175,0.075
372,-0.010000000000000009,0.5,0.125
373,0.23999999999999988,0.525,0.15
374,-0.18000000000000005,0.425,0.1
375,-0.19999999999999996,0.225,0.125
376,-0.020000000000000018,0.575,0.125
377,0.26,0.625,0.175
378,-0.17999999999999994,0.55,0.125
379,-0.1499999999999999,0.2,0.125
380,0.05999999999999983,0.375,0.1
381,0.3600000000000001,0.375,0.125
382,-0.1100000000000001,0.1,0.05
383,-0.16999999999999993,0.075,0.1
384,0.1200000000000001,0.4,0.1
385,0.31999999999999995,0.3,0.1
386,-0.12,0.15,0.1
387,-0.14000000000000012,0.075,0.075
388,-0.010000000000000009,0.35,0.1
389,0.17000000000000004,0.525,0.2
390,-0.19000000000000006,0.375,0.1
391,-0.1499999999999999,0.225,0.1
392,-0.030000000000000027,0.375,0.125
393,0.26,0.475,0.15
394,-0.1499999999999999,0.175,0.05
395,-0.16000000000000014,0.15,0.125
396,0.06000000000000005,0.425,0.1
397,0.32000000000000006,0.4,0.125
398,-0.1200000000000001,0.175,0.1
399,-0.1499999999999999,0.1,0.05
400,0.10999999999999988,0.4,0.1
401,0.30000000000000016,0.325,0.15
402,-0.12,0.275,0.1
403,-0.15000000000000013,0.075,0.05
404,0.040000000000000036,0.45,0.1
405,0.27,0.45,0.15
406,-0.17999999999999994,0.2,0.1
407,-0.15000000000000013,0.3,0.1
408,0.020000000000000018,0.35,0.125
409,0.29000000000000004,0.35,0.1
410,-0.04999999999999993,0.1,0.1
411,-0.13,0.025,0.025
412,0.040000000000000036,0.325,0.15
413,0.24,0.375,0.1
414,-0.07000000000000006,0.175,0.075
415,-0.14,0.05,0.05
416,0.0,0.4,0.15
417,0.24,0.425,0.15
418,-0.07999999999999996,0.15,0.05
419,-0.15000000000000002,0.0,0.0
420,0.010000000000000009,0.35,0.125
421,0.24,0.4,0.1
422,-0.07999999999999996,0.125,0.075
423,-0.20000000000000007,0.1,0.075
424,-0.029999999999999916,0.575,0.125
425,0.17999999999999994,0.625,0.175
426,-0.15999999999999992,0.3,0.075
427,-0.13000000000000012,0.15,0.1
428,0.030000000000000027,0.325,0.075
429,0.27,0.325,0.125
430,-0.10999999999999999,0.1,0.05
431,-0.15000000000000002,0.15,0.1
432,0.050000000000000044,0.4,0.1
433,0.22999999999999998,0.3,0.1
434,-0.14,0.15,0.1
435,-0.18000000000000005,0.175,0.075
436,0.020000000000000018,0.5,0.125
437,0.25,0.5,0.15
438,-0.13,0.15,0.1
439,-0.17000000000000004,0.1,0.075
440,0.010000000000000009,0.475,0.15
441,0.2300000000000001,0.425,0.15
442,-0.09999999999999998,0.225,0.075
443,-0.16000000000000014,0.1,0.05
444,0.0,0.4,0.15
445,0.2500000000000001,0.5,0.15
446,-0.13,0.2,0.1
447,-0.1299999999999999,0.175,0.1
448,0.04999999999999982,0.35,0.125
449,0.31000000000000005,0.375,0.1
450,-0.16000000000000003,0.1,0.05
451,-0.13,0.2,0.125
452,0.050000000000000044,0.375,0.075
453,0.25,0.35,0.1
454,-0.17000000000000004,0.175,0.075
455,-0.16000000000000003,0.225,0.075
456,0.010000000000000009,0.425,0.1
457,0.20000000000000007,0.425,0.125
458,-0.14,0.2,0.1
459,-0.1499999999999999,0.125,0.1
460,0.04999999999999982,0.375,0.125
461,0.29000000000000015,0.35,0.1
462,-0.09000000000000008,0.075,0.05
463,-0.14,0.075,0.075
464,0.020000000000000018,0.375,0.075
465,0.32000000000000006,0.35,0.1
466,-0.06000000000000005,0.125,0.075
467,-0.13,0.075,0.05
468,0.0,0.4,0.1
469,0.24,0.425,0.15
470,-0.13,0.25,0.075
471,-0.1499999999999999,0.075,0.05
472,-0.050000000000000044,0.375,0.125
473,0.18999999999999995,0.475,0.15
474,-0.17999999999999994,0.25,0.075
475,-0.18999999999999995,0.2,0.1
476,-0.050000000000000044,0.55,0.15
477,0.19999999999999996,0.625,0.175
478,-0.19999999999999996,0.5,0.1
479,-0.17999999999999994,0.25,0.125
480,0.039999999999999813,0.55,0.125
481,0.33000000000000007,0.5,0.125
482,-0.1399999999999999,0.175,0.1
483,-0.19999999999999996,0.125,0.075
484,0.06999999999999984,0.45,0.15
485,0.3600000000000001,0.45,0.125
486,-0.14000000000000012,0.175,0.075
487,-0.10999999999999988,0.125,0.075
488,0.08999999999999986,0.275,0.1
489,0.2500000000000001,0.3,0.1
490,-0.15000000000000002,0.325,0.125
491,-0.15999999999999992,0.125,0.075
492,0.020000000000000018,0.4,0.1
493,0.2699999999999999,0.4,0.125
494,-0.15000000000000002,0.275,0.1
495,-0.1399999999999999,0.1,0.125
496,0.040000000000000036,0.325,0.075
497,0.2899999999999999,0.3,0.15
498,-0.15000000000000002,0.225,0.075
499,-0.16999999999999993,0.15,0.1
500,0.030000000000000027,0.5,0.125
501,0.2699999999999999,0.45,0.125
502,-0.07999999999999996,0.175,0.075
503,-0.17000000000000015,0.075,0.05
504,0.010000000000000009,0.425,0.125
505,0.2600000000000001,0.5,0.125
506,-0.17000000000000004,0.225,0.1
507,-0.19999999999999996,0.175,0.075
508,-0.010000000000000009,0.5,0.175
509,0.27,0.575,0.15
510,-0.14000000000000012,0.25,0.075
511,-0.16999999999999993,0.175,0.1
512,-0.020000000000000018,0.45,0.15
513,0.31000000000000005,0.525,0.125
514,-0.14000000000000012,0.175,0.1
515,-0.1299999999999999,0.125,0.05
516,0.08000000000000007,0.35,0.075
517,0.34999999999999987,0.325,0.125
518,-0.17999999999999994,0.075,0.05
519,-0.16999999999999993,0.225,0.125
520,0.030000000000000027,0.5,0.125
521,0.29999999999999993,0.45,0.175
522,-0.16000000000000003,0.2,0.075
523,-0.15999999999999992,0.2,0.125
524,0.039999999999999813,0.475,0.125
525,0.27000000000000013,0.425,0.125
526,-0.16000000000000003,0.175,0.075
527,-0.16999999999999993,0.175,0.1
528,0.020000000000000018,0.525,0.1
529,0.29999999999999993,0.425,0.1
530,-0.17000000000000004,0.175,0.075
531,-0.16999999999999993,0.2,0.075
532,0.0,0.45,0.175
533,0.2699999999999999,0.525,0.125
534,-0.18000000000000005,0.225,0.1
535,-0.11999999999999988,0.175,0.1
536,0.040000000000000036,0.35,0.1
537,0.2499999999999999,0.35,0.1
538,-0.13,0.2,0.1
539,-0.1499999999999999,0.1,0.075
540,0.050000000000000044,0.35,0.1
541,0.29999999999999993,0.35,0.15
542,-0.08999999999999997,0.175,0.1
543,-0.16000000000000014,0.075,0.05
544,0.06000000000000005,0.4,0.125
545,0.29000000000000004,0.375,0.125
546,-0.10999999999999999,0.15,0.075
547,-0.20000000000000007,0.075,0.075
548,0.0,0.525,0.15
549,0.27,0.525,0.125
550,-0.1399999999999999,0.175,0.1
551,-0.16000000000000014,0.15,0.075
552,0.0,0.4,0.15
553,0.2600000000000001,0.45,0.1
554,-0.17000000000000004,0.2,0.1
555,-0.1299999999999999,0.175,0.075
556,0.010000000000000009,0.35,0.125
557,0.2799999999999999,0.375,0.1
558,-0.15000000000000002,0.125,0.05
559,-0.17999999999999994,0.175,0.125
560,0.05999999999999983,0.475,0.1
561,0.2600000000000001,0.375,0.125
562,-0.16000000000000003,0.225,0.075
563,-0.1499999999999999,0.225,0.1
564,0.05999999999999983,0.45,0.1
565,0.29000000000000015,0.375,0.125
566,-0.13,0.15,0.075
567,-0.20999999999999996,0.2,0.125
568,-0.06000000000000005,0.575,0.15
569,0.27,0.675,0.2
570,-0.13000000000000012,0.25,0.075
571,-0.1499999999999999,0.15,0.075
572,0.040000000000000036,0.375,0.125
573,0.31999999999999995,0.35,0.075
574,-0.12,0.25,0.075
575,-0.17999999999999994,0.1,0.075
576,0.0,0.45,0.15
577,0.21999999999999997,0.525,0.125
578,-0.19999999999999996,0.475,0.15
579,-0.15000000000000013,0.325,0.1
580,0.06000000000000005,0.325,0.125
581,0.33999999999999997,0.3,0.1
582,-0.09999999999999998,0.125,0.075
583,-0.15999999999999992,0.1,0.075
584,-0.020000000000000018,0.45,0.15
585,0.22999999999999998,0.575,0.15
586,-0.17999999999999994,0.25,0.125
587,-0.17000000000000015,0.225,0.125
588,0.030000000000000027,0.5,0.1
589,0.33000000000000007,0.475,0.15
590,-0.18000000000000016,0.225,0.075
591,-0.17999999999999994,0.25,0.125
592,0.050000000000000044,0.55,0.1
593,0.32999999999999996,0.5,0.125
594,-0.13,0.125,0.1
595,-0.18999999999999995,0.175,0.1
596,0.030000000000000027,0.55,0.15
597,0.29999999999999993,0.525,0.125
598,-0.16000000000000003,0.225,0.1
599,-0.21999999999999997,0.25,0.1
600,0.010000000000000009,0.65,0.2
601,0.27,0.725,0.15
602,-0.21999999999999997,0.325,0.125
603,-0.20999999999999996,0.325,0.1
604,0.0,0.625,0.15
605,0.31999999999999984,0.65,0.125
606,-0.1499999999999999,0.25,0.075
607,-0.15999999999999992,0.175,0.1
608,0.10999999999999988,0.45,0.075
609,0.3400000000000001,0.35,0.125
610,-0.09000000000000008,0.15,0.1
611,-0.1299999999999999,0.05,0.05
612,0.040000000000000036,0.3,0.125
613,0.29999999999999993,0.4,0.15
614,-0.07000000000000006,0.175,0.075
615,-0.17000000000000004,0.05,0.025
616,0.040000000000000036,0.475,0.125
617,0.30000000000000004,0.5,0.15
618,-0.14,0.15,0.075
619,-0.19000000000000006,0.125,0.075
620,-0.020000000000000018,0.525,0.125
621,0.2500000000000001,0.575,0.15
622,-0.15000000000000002,0.375,0.1
623,-0.15999999999999992,0.15,0.1
624,0.020000000000000018,0.375,0.1
625,0.2699999999999999,0.425,0.15
626,-0.19000000000000006,0.15,0.1
627,-0.16999999999999993,0.225,0.1
628,0.010000000000000009,0.475,0.1
629,0.29000000000000004,0.425,0.15
630,-0.08000000000000007,0.15,0.075
631,-0.1299999999999999,0.05,0.075
632,0.06999999999999984,0.325,0.1
633,0.28,0.35,0.15
634,-0.12,0.15,0.075
635,-0.18000000000000005,0.175,0.075
636,0.010000000000000009,0.5,0.125
637,0.2600000000000001,0.5,0.175
638,-0.15000000000000002,0.275,0.075
639,-0.17999999999999994,0.2,0.1
640,-0.010000000000000009,0.5,0.125
641,0.2499999999999999,0.575,0.175
642,-0.13,0.225,0.075
643,-0.17999999999999994,0.175,0.125
644,-0.020000000000000018,0.45,0.125
645,0.21999999999999997,0.5,0.125
646,-0.18999999999999995,0.275,0.1
647,-0.15999999999999992,0.275,0.1
648,0.06999999999999984,0.525,0.125
649,0.30000000000000004,0.5,0.175
650,-0.1499999999999999,0.25,0.1
651,-0.16000000000000014,0.175,0.1
652,0.050000000000000044,0.425,0.125
653,0.28,0.45,0.1
654,-0.07000000000000006,0.2,0.1
655,-0.15999999999999992,0.025,0.025
656,0.0,0.375,0.125
657,0.2899999999999999,0.475,0.125
658,-0.17000000000000004,0.4,0.15
659,-0.1399999999999999,0.175,0.075
660,0.07000000000000006,0.35,0.125
661,0.30999999999999994,0.325,0.1
662,-0.14,0.1,0.05
663,-0.1499999999999999,0.15,0.1
664,0.05999999999999983,0.45,0.125
665,0.2300000000000001,0.425,0.15
666,-0.17000000000000004,0.25,0.15
667,-0.16999999999999993,0.225,0.075
668,-0.020000000000000018,0.45,0.125
669,0.26,0.525,0.125
670,-0.17999999999999994,0.25,0.075
671,-0.2300000000000002,0.25,0.1
672,0.010000000000000009,0.6,0.15
673,0.24,0.575,0.15
674,-0.1299999999999999,0.325,0.1
675,-0.1499999999999999,0.1,0.05
676,0.05999999999999983,0.4,0.15
677,0.31000000000000005,0.45,0.125
678,-0.11999999999999988,0.175,0.1
679,-0.16000000000000014,0.075,0.075
680,0.08000000000000007,0.4,0.125
681,0.35,0.325,0.1
682,-0.15000000000000002,0.15,0.125
683,-0.16999999999999993,0.125,0.1
684,0.040000000000000036,0.425,0.125
685,0.30999999999999994,0.425,0.15
686,-0.14,0.175,0.075
687,-0.1499999999999999,0.1,0.075
688,0.06999999999999984,0.375,0.1
689,0.29000000000000004,0.325,0.125
690,-0.15999999999999992,0.2,0.1
691,-0.18999999999999995,0.175,0.125
692,-0.020000000000000018,0.55,0.15
693,0.23999999999999988,0.575,0.15
694,-0.20000000000000007,0.45,0.1
695,-0.18999999999999995,0.25,0.125
696,0.040000000000000036,0.55,0.125
697,0.29000000000000004,0.475,0.15
698,-0.15999999999999992,0.375,0.125
699,-0.17000000000000015,0.175,0.1
700,-0.010000000000000009,0.4,0.125
701,0.29000000000000004,0.475,0.15
702,-0.15999999999999992,0.25,0.075
703,-0.17000000000000015,0.15,0.1
704,0.010000000000000009,0.425,0.125
705,0.31000000000000005,0.5,0.175
706,-0.09999999999999987,0.225,0.075
707,-0.17000000000000015,0.05,0.1
708,0.020000000000000018,0.45,0.125
709,0.30000000000000004,0.525,0.125
710,-0.15999999999999992,0.275,0.1
711,-0.14000000000000012,0.15,0.075
712,0.050000000000000044,0.325,0.125
713,0.33999999999999997,0.4,0.1
714,-0.06999999999999995,0.1,0.075
715,-0.13000000000000012,0.025,0.05
716,0.040000000000000036,0.35,0.125
717,0.31000000000000005,0.375,0.15
718,-0.09999999999999998,0.125,0.05
719,-0.17000000000000004,0.075,0.05
720,-0.010000000000000009,0.425,0.15
721,0.28,0.5,0.125
722,-0.09999999999999998,0.15,0.075
723,-0.17000000000000004,0.075,0.075
724,-0.010000000000000009,0.475,0.125
725,0.21999999999999997,0.525,0.15
726,-0.17999999999999994,0.275,0.1
727,-0.18999999999999995,0.275,0.125
728,0.020000000000000018,0.525,0.125
729,0.2599999999999999,0.475,0.1
730,0.0,0.175,0.1
731,-0.10999999999999999,0.2,0.1
732,0.040000000000000036,0.275,0.075
733,0.24,0.275,0.125
734,-0.050000000000000044,0.075,0.1
735,-0.18999999999999995,0.075,0.05
736,-0.020000000000000018,0.55,0.175
737,0.20999999999999996,0.55,0.2
738,-0.16999999999999993,0.35,0.1
739,-0.16000000000000014,0.175,0.075
740,0.030000000000000027,0.4,0.125
